dataset	n_rows	n_columns	n_participants	annotated	cumulative_n_participants
ds003416	169	5	97	False	39091
ds003522	96	6	96	False	39187
ds004455	96	6	96	False	39283
ds006613	95	21	95	False	39378
ds000202	95	11	95	False	39473
ds005293	95	6	95	False	39568
ds004697	94	7	94	False	39662
ds007020	94	2	94	False	39756
ds006366	92	2	92	False	39848
ds001747	92	10	92	False	39940
ds003523	91	6	91	False	40031
ds002236	91	7	91	False	40122
ds002647	91	6	91	False	40213
ds006395	91	5	91	False	40304
ds005114	91	6	91	False	40395
ds005747	90	5	90	False	40485
ds003499	90	4	90	False	40575
ds006239	89	6	89	False	40664
ds006036	88	5	88	False	40752
ds004504	88	5	88	False	40840
ds004648	88	33	88	False	40928
ds006691	88	21	88	False	41016
ds003653	87	9	87	False	41103
ds004725	87	9	87	False	41190
ds003838	86	27	86	False	41276
ds006318	86	2	86	False	41362
ds000201	86	106	86	False	41448
ds006638	86	2	86	False	41534
ds002837	86	4	86	False	41620
ds005356	85	6	85	False	41705
ds006905	84	31	84	False	41789
ds006926	83	5	83	False	41872
ds003944	82	6	82	False	41954
ds005026	82	5	82	False	42036
ds005410	81	15	81	False	42117
ds005027	175	8	81	False	42198
ds001461	81	5	81	False	42279
ds003469	81	3	81	False	42360
ds002643	80	5	80	False	42440
ds005662	80	8	80	False	42520
ds003877	79	11	79	False	42599
ds002424	79	17	79	False	42678
ds000222	79	11	79	False	42757
ds005265	78	5	78	False	42835
ds005216	78	3	78	False	42913
ds005636	78	5	78	False	42991
ds004285	78	3	78	False	43069
ds003831	77	12	77	False	43146
ds005455	77	24	77	False	43223
ds000208	76	9	76	False	43299
ds004582	76	3	76	False	43375
ds006260	76	4	76	False	43451
ds006105	75	4	75	False	43526
ds004873	75	6	75	False	43601
ds003690	75	11	75	False	43676
ds004080	74	4	74	False	43750
ds005234	74	6	74	False	43824
ds004469	74	25	74	False	43898
ds004611	73	2	73	False	43971
ds000119	73	3	73	False	44044
ds004848	73	3	73	False	44117
ds002748	72	20	72	False	44189
ds005059	72	4	72	False	44261
ds004302	71	6	71	False	44332
ds006095	71	8	71	False	44403
ds005038	71	6	71	False	44474
ds004902	71	41	71	False	44545
ds005577	70	5	70	False	44615
ds006663	69	9	69	False	44684
ds006222	69	4	69	False	44753
ds005263	68	5	68	False	44821
ds004791	68	2	68	False	44889
ds005266	68	5	68	False	44957
ds005504	68	19	68	False	45025
ds002731	67	4	67	False	45092
ds004217	67	3	67	False	45159
ds002330	66	37	66	False	45225
ds004103	66	4	66	False	45291
ds004851	66	1	66	False	45357
ds006434	66	3	66	False	45423
ds007181	66	4	66	False	45489
ds007182	66	31	66	False	45555
ds005226	65	3	65	False	45620
ds005291	65	7	65	False	45685
ds002116	65	19	65	False	45750
ds006156	64	4	64	False	45814
ds001796	64	12	64	False	45878
ds006850	63	4	63	False	45941
ds005096	63	3	63	False	46004
ds000240	63	18	63	False	46067
ds006803	63	4	63	False	46130
ds003688	63	10	63	False	46193
ds001748	62	4	62	False	46255
ds003763	62	35	62	False	46317
ds004349	62	5	62	False	46379
ds005296	62	11	62	False	46441
ds004942	62	1	62	False	46503
ds004044	62	4	62	False	46565
ds005616	62	10	62	False	46627
ds004019	62	6	62	False	46689
ds002382	61	18	61	False	46750
ds004771	61	6	61	False	46811
ds007398	61	3	61	False	46872
ds005899	61	8	61	False	46933
ds003947	61	6	61	False	46994
ds003967	60	4	60	False	47054
ds003717	60	18	60	False	47114
ds006092	60	5	60	False	47174
ds005540	60	3	60	False	47234
ds005866	60	13	60	False	47294
ds005346	60	4	60	False	47354
ds004166	158	6	60	False	47414
ds007022	60	6	60	False	47474
ds005012	60	5	60	False	47534
ds004148	60	257	60	False	47594
ds005874	59	7	59	False	47653
ds004920	59	16	59	False	47712
ds000053	59	3	59	False	47771
ds005236	59	5	59	False	47830
ds005917	58	7	58	False	47888
ds004392	58	5	58	False	47946
ds005522	58	4	58	False	48004
ds004569	58	6	58	False	48062
ds004100	58	11	58	False	48120
ds003126	58	4	58	False	48178
ds005131	58	6	58	False	48236
ds007322	57	11	57	False	48293
ds004261	57	4	57	False	48350
ds003638	57	4	57	False	48407
ds004151	57	5	57	False	48464
ds004359	57	6	57	False	48521
ds003508	57	10	57	False	48578
ds004279	56	4	56	False	48634
ds003509	56	7	56	False	48690
ds003506	56	7	56	False	48746
ds002994	56	1	56	False	48802
ds002886	56	12	56	False	48858
ds004448	56	4	56	False	48914
ds006370	56	1	56	False	48970
ds001838	210	12	55	False	49025
ds003465	55	3	55	False	49080
ds005892	55	4	55	False	49135
ds006171	55	8	55	False	49190
ds003751	55	4	54	False	49244
ds004515	54	8	54	False	49298
ds001131	54	3	54	False	49352
ds003138	53	4	53	False	49405
ds005907	53	8	53	False	49458
ds006979	53	7	53	False	49511
ds004917	53	9	53	False	49564
ds004256	53	4	53	False	49617
ds004595	53	8	53	False	49670
ds004556	53	5	53	False	49723
ds007063	52	5	52	False	49775
ds001848	56	9	52	False	49827
ds003876	52	10	52	False	49879
ds004572	52	4	52	False	49931
ds006367	52	1	52	False	49983
ds001408	52	4	52	False	50035
ds001242	52	3	52	False	50087
ds004626	52	5	52	False	50139
ds004718	52	262	52	False	50191
ds006131	51	3	51	False	50242
ds004182	51	3	51	False	50293
ds003568	51	4	51	False	50344
ds003709	51	7	51	False	50395
ds004499	50	4	50	False	50445
ds003745	50	4	50	False	50495
ds005697	50	3	50	False	50545
ds005381	50	4	50	False	50595
ds004996	50	9	50	False	50645
ds004073	50	11	50	False	50695
ds003037	50	6	50	False	50745
ds003612	50	4	50	False	50795
ds003490	50	7	50	False	50845
ds001818	50	1	50	False	50895
ds004604	50	3	50	False	50945
ds005518	50	4	50	False	50995
ds003825	50	8	50	False	51045
ds004317	50	5	50	False	51095
ds006248	50	5	50	False	51145
ds004315	50	5	50	False	51195
ds002543	49	3	49	False	51244
ds005341	49	4	49	False	51293
ds003114	49	10	49	False	51342
ds003436	49	11	49	False	51391
ds006545	49	5	49	False	51440
ds004894	49	1	49	False	51489
ds003791	49	5	49	False	51538
ds004865	49	4	49	False	51587
ds002893	49	6	49	False	51636
ds004145	49	8	49	False	51685
ds000148	49	15	49	False	51734
ds003799	48	6	48	False	51782
ds005947	48	3	48	False	51830
ds005572	48	1	48	False	51878
ds005095	48	4	48	False	51926
ds000109	48	3	48	False	51974
ds005411	48	4	48	False	52022
ds002168	48	8	48	False	52070
ds004440	48	4	48	False	52118
ds004635	48	3	48	False	52166
ds004068	48	4	48	False	52214
ds002522	48	4	48	False	52262
ds005841	48	3	48	False	52310
ds002419	48	45	48	False	52358
ds005868	48	12	48	False	52406
ds006693	48	7	48	False	52454
ds004386	48	4	48	False	52502
ds004327	47	45	47	False	52549
ds003702	47	5	47	False	52596
ds005551	47	5	47	False	52643
ds006648	47	2	47	False	52690
ds006554	47	2	47	False	52737
ds001810	47	4	47	False	52784
ds001371	47	4	47	False	52831
ds006521	47	5	47	False	52878
ds002422	46	3	46	False	52924
ds007335	46	4	46	False	52970
ds005230	46	4	46	False	53016
ds006628	46	4	46	False	53062
ds005598	46	3	46	False	53108
ds007176	45	5	45	False	53153
ds004934	47	4	45	False	53198
ds000245	45	6	45	False	53243
ds004533	45	4	45	False	53288
ds000144	45	26	45	False	53333
ds004511	44	3	44	False	53377
ds004647	44	3	44	False	53421
ds003620	44	48	44	False	53465
ds003851	44	5	44	False	53509
ds003787	44	4	44	False	53553
ds004872	44	18	44	False	53597
ds005050	44	3	44	False	53641
ds005343	43	3	43	False	53684
ds005363	43	5	43	False	53727
ds005374	43	5	43	False	53770
ds002033	43	10	43	False	53813
ds005469	43	8	43	False	53856
ds005875	43	11	43	False	53899
ds006583	43	11	43	False	53942
ds004000	43	2	43	False	53985
ds007318	43	4	43	False	54028
ds004516	43	6	43	False	54071
ds004456	42	16	42	False	54113
ds005559	42	5	42	False	54155
ds004621	42	90	42	False	54197
ds004054	42	7	42	False	54239
ds001386	42	4	42	False	54281
ds004588	42	1	42	False	54323
ds006902	42	6	42	False	54365
ds004717	42	8	42	False	54407
ds006010	42	3	42	False	54449
ds005106	42	6	42	False	54491
ds000174	42	10	42	False	54533
ds001534	42	11	42	False	54575
ds000217	41	4	41	False	54616
ds005960	41	3	41	False	54657
ds004369	41	8	41	False	54698
ds007081	41	1	41	False	54739
ds004006	41	3	41	False	54780
ds003554	41	4	41	False	54821
ds004495	40	4	40	False	54861
ds006644	40	10	40	False	54901
ds006642	40	4	40	False	54941
ds004519	40	1	40	False	54981
ds004367	40	4	40	False	55021
ds003570	40	5	40	False	55061
ds002813	40	5	40	False	55101
ds005588	40	3	40	False	55141
ds001771	40	55	40	False	55181
ds004786	40	4	40	False	55221
ds004563	40	4	40	False	55261
ds005007	40	4	40	False	55301
ds001725	40	4	40	False	55341
ds006472	40	4	40	False	55381
ds004388	40	11	40	False	55421
ds001928	40	27	40	False	55461
ds006179	40	4	40	False	55501
ds003511	40	3	40	False	55541
ds004926	40	3	40	False	55581
ds007441	40	1	40	False	55621
ds003782	40	1	40	False	55661
ds004471	40	4	40	False	55701
ds006670	39	4	39	False	55740
ds006731	39	3	39	False	55779
ds003453	39	3	39	False	55818
ds005883	39	8	39	False	55857
ds004368	39	4	39	False	55896
ds005946	39	20	39	False	55935
ds005289	39	6	39	False	55974
ds000212	39	4	39	False	56013
ds000171	39	4	39	False	56052
ds007115	39	4	39	False	56091
ds002872	39	3	39	False	56130
ds001529	38	3	38	False	56168
ds003095	38	4	38	False	56206
ds004502	38	3	38	False	56244
ds005489	38	4	38	False	56282
ds004544	38	3	38	False	56320
ds005687	38	7	38	False	56358
ds003550	38	4	38	False	56396
ds004802	38	6	38	False	56434
ds006921	38	11	38	False	56472
ds003500	38	7	38	False	56510
ds004631	38	3	38	False	56548
ds002896	38	7	38	False	56586
ds007345	37	12	37	False	56623
ds004094	37	4	37	False	56660
ds001110	37	4	37	False	56697
ds000113	37	92	37	False	56734
ds004603	37	7	37	False	56771
ds005479	37	26	37	False	56808
ds005420	37	6	37	False	56845
ds006568	37	4	37	False	56882
ds003830	37	19	37	False	56919
ds006374	36	4	36	False	56955
ds004557	36	6	36	False	56991
ds001618	36	3	36	False	57027
ds001417	36	8	36	False	57063
ds007275	36	17	36	False	57099
ds000214	36	24	36	False	57135
ds005089	36	3	36	False	57171
ds004015	36	9	36	False	57207
ds001814	36	6	36	False	57243
ds001226	36	53	36	False	57279
ds006839	36	4	36	False	57315
ds004134	36	3	36	False	57351
ds000168	35	3	35	False	57386
ds003521	35	4	35	False	57421
ds005126	35	9	35	False	57456
ds005048	35	5	35	False	57491
ds002878	35	6	35	False	57526
ds003711	35	3	35	False	57561
ds007162	35	6	35	False	57596
ds003029	35	11	35	False	57631
ds003721	35	4	35	False	57666
ds002242	35	3	35	False	57701
ds005684	35	9	35	False	57736
ds005857	35	6	35	False	57771
ds004731	35	3	35	False	57806
ds006559	35	4	35	False	57841
ds001365	35	12	35	False	57876
ds002655	35	3	35	False	57911
ds000238	35	9	35	False	57946
ds003358	35	3	35	False	57981
ds003401	35	4	35	False	58016
ds005418	35	3	35	False	58051
ds004958	34	4	34	False	58085
ds007126	34	41	34	False	58119
ds000108	34	3	34	False	58153
ds005402	34	5	34	False	58187
ds003542	34	6	34	False	58221
ds006952	34	4	34	False	58255
ds003176	34	4	34	False	58289
ds006525	34	6	34	False	58323
ds004529	34	5	34	False	58357
ds003647	34	7	34	False	58391
ds003004	34	6	34	False	58425
ds004706	34	4	34	False	58459
ds002620	36	7	34	False	58493
ds002366	36	7	34	False	58527
ds003703	34	4	34	False	58561
ds005795	34	5	34	False	58595
ds005121	34	1	34	False	58629
ds003459	34	9	34	False	58663
ds001297	33	3	33	False	58696
ds000140	33	3	33	False	58729
ds006756	33	7	33	False	58762
ds002169	33	3	33	False	58795
ds004274	33	5	33	False	58828
ds003146	33	2	33	False	58861
ds005733	33	3	33	False	58894
ds001590	32	1	32	False	58926
ds003772	32	3	32	False	58958
ds004128	32	3	32	False	58990
ds006963	32	2	32	False	59022
ds004021	32	1	32	False	59054
ds004122	32	4	32	False	59086
ds007342	32	53	32	False	59118
ds004625	32	5	32	False	59150
ds005403	32	4	32	False	59182
ds003357	32	4	32	False	59214
ds004470	32	4	32	False	59246
ds003789	32	4	32	False	59278
ds004305	32	5	32	False	59310
ds007127	32	3	32	False	59342
ds005342	32	5	32	False	59374
ds005241	32	6	32	False	59406
ds002879	32	17	32	False	59438
ds005073	93	25	32	False	59470
ds006556	31	45	31	False	59501
ds001510	31	3	31	False	59532
ds003766	31	4	31	False	59563
ds007267	31	6	31	False	59594
ds002778	31	9	31	False	59625
ds006547	31	3	31	False	59656
ds006761	31	10	31	False	59687
ds006502	31	6	31	False	59718
ds005920	31	5	31	False	59749
ds004860	31	6	31	False	59780
ds005810	31	6	31	False	59811
ds000210	31	5	31	False	59842
ds001430	31	3	31	False	59873
ds002721	31	3	31	False	59904
ds006039	31	3	31	False	59935
ds003691	31	4	31	False	59966
ds002134	49	16	31	False	59997
ds004109	31	4	31	False	60028
ds006768	30	7	30	False	60058
ds006334	30	3	30	False	60088
ds004331	30	4	30	False	60118
ds005286	30	7	30	False	60148
ds003696	30	6	30	False	60178
ds001545	30	3	30	False	60208
ds003739	30	5	30	False	60238
ds000157	30	11	30	False	60268
ds003555	30	5	30	False	60298
ds002732	30	3	30	False	60328
ds002006	30	20	30	False	60358
ds004496	30	4	30	False	60388
ds004447	30	4	30	False	60418
ds004278	30	5	30	False	60448
ds002938	30	4	30	False	60478
ds005189	30	4	30	False	60508
ds004488	30	4	30	False	60538
ds005383	30	6	30	False	60568
ds004692	30	4	30	False	60598
ds002741	30	3	30	False	60628
ds005692	30	3	30	False	60658
ds004446	30	4	30	False	60688
ds001890	53	11	30	False	60718
ds004475	30	5	30	False	60748
ds004444	30	4	30	False	60778
ds006805	30	3	30	False	60808
ds004892	30	62	30	False	60838
ds004330	30	6	30	False	60868
ds004693	30	4	30	False	60898
ds006386	30	6	30	False	60928
ds004012	30	4	30	False	60958
ds006848	30	7	30	False	60988
ds004581	30	7	30	False	61018
ds005932	29	6	29	False	61047
ds003999	29	12	29	False	61076
ds005704	29	4	29	False	61105
ds001353	29	3	29	False	61134
ds005571	29	9	29	False	61163
ds004974	29	4	29	False	61192
ds005285	29	9	29	False	61221
ds003606	29	3	29	False	61250
ds002080	29	51	29	False	61279
ds002411	29	10	29	False	61308
ds005473	29	5	29	False	61337
ds003007	29	30	29	False	61366
ds004123	29	4	29	False	61395
ds005464	29	6	29	False	61424
ds004056	29	4	29	False	61453
ds004909	29	4	29	False	61482
ds005876	29	6	29	False	61511
ds006446	29	6	29	False	61540
ds003639	29	3	29	False	61569
ds001653	57	7	29	False	61598
ds005406	29	6	29	False	61627
ds006729	28	9	28	False	61655
ds000121	28	3	28	False	61683
ds004775	28	4	28	False	61711
ds003424	28	14	28	False	61739
ds003694	28	4	28	False	61767
ds005264	28	5	28	False	61795
ds002793	28	3	28	False	61823
ds004962	28	1	28	False	61851
ds002712	28	4	28	False	61879
ds004654	28	4	28	False	61907
ds004341	28	4	28	False	61935
ds004226	28	3	28	False	61963
ds004597	27	3	27	False	61990
ds004011	27	7	27	False	62017
ds005139	27	3	27	False	62044
ds002898	27	29	27	False	62071
ds006142	27	4	27	False	62098
ds005088	27	11	27	False	62125
ds004869	27	4	27	False	62152
ds001229	27	3	27	False	62179
ds001740	27	3	27	False	62206
ds004106	27	4	27	False	62233
ds003519	27	6	27	False	62260
ds004592	27	4	27	False	62287
ds004092	27	1	27	False	62314
ds007386	27	833	27	False	62341
ds006224	81	14	27	False	62368
ds005397	26	5	26	False	62394
ds004324	26	4	26	False	62420
ds004616	26	3	26	False	62446
ds000213	26	3	26	False	62472
ds000220	26	6	26	False	62498
ds002835	26	2	26	False	62524
ds002799	26	4	26	False	62550
ds003083	26	2	26	False	62576
ds005345	26	5	26	False	62602
ds003670	26	16	26	False	62628
ds000249	26	3	26	False	62654
ds005284	26	7	26	False	62680
ds004389	26	20	26	False	62706
ds002547	26	4	26	False	62732
ds004295	26	29	26	False	62758
ds002322	26	5	26	False	62784
ds003468	27	4	26	False	62810
ds004783	26	4	26	False	62836
ds000133	26	4	26	False	62862
ds000120	26	3	26	False	62888
ds000102	26	3	26	False	62914
ds000203	26	22	26	False	62940
ds003753	25	4	25	False	62965
ds007180	25	4	25	False	62990
ds005839	25	3	25	False	63015
ds003233	25	6	25	False	63040
ds003017	25	4	25	False	63065
ds005895	25	5	25	False	63090
ds002776	26	4	25	False	63115
ds001378	25	5	25	False	63140
ds003516	25	6	25	False	63165
ds006211	25	3	25	False	63190
ds003822	25	4	25	False	63215
ds005034	25	4	25	False	63240
ds003136	25	3	25	False	63265
ds003487	25	4	25	False	63290
ds002041	25	97	25	False	63315
ds003569	25	9	25	False	63340
ds005407	25	16	25	False	63365
ds004505	25	13	25	False	63390
ds004400	56	26	25	False	63415
ds005056	27	5	25	False	63440
ds005408	25	16	25	False	63465
ds004010	24	5	24	False	63489
ds001454	24	4	24	False	63513
ds001840	24	4	24	False	63537
ds003885	24	6	24	False	63561
ds006746	24	3	24	False	63585
ds002940	24	8	24	False	63609
ds005624	24	6	24	False	63633
ds003495	24	1	24	False	63657
ds005468	24	3	24	False	63681
ds004808	24	3	24	False	63705
ds005581	24	3	24	False	63729
ds003545	24	8	24	False	63753
ds000009	24	90	24	False	63777
ds003887	24	7	24	False	63801
ds005565	24	12	24	False	63825
ds000256	24	4	24	False	63849
ds006104	24	4	24	False	63873
ds004644	24	3	24	False	63897
ds006802	24	9	24	False	63921
ds006720	24	4	24	False	63945
ds001981	24	7	24	False	63969
ds003835	24	8	24	False	63993
ds006269	24	5	24	False	64017
ds001517	24	3	24	False	64041
ds002154	48	6	24	False	64065
ds002105	24	5	24	False	64089
ds006267	24	5	24	False	64113
ds004350	24	2	24	False	64137
ds001787	24	4	24	False	64161
ds002687	24	13	24	False	64185
ds004347	24	5	24	False	64209
ds005980	24	3	24	False	64233
ds004161	24	13	24	False	64257
ds006468	24	6	24	False	64281
ds001241	24	4	24	False	64305
ds001228	24	3	24	False	64329
ds004657	24	1	24	False	64353
ds002338	23	4	23	False	64376
ds002603	23	3	23	False	64399
ds006519	23	6	23	False	64422
ds006557	23	4	23	False	64445
ds004117	23	5	23	False	64468
ds001178	23	3	23	False	64491
ds001554	23	2	23	False	64514
ds005586	23	3	23	False	64537
ds003987	23	8	23	False	64560
ds006212	23	4	23	False	64583
ds005424	23	2	23	False	64606
ds007305	23	3	23	False	64629
ds005882	23	3	23	False	64652
ds003458	23	3	23	False	64675
ds003454	23	4	23	False	64698
ds004406	23	3	23	False	64721
ds005520	23	25	23	False	64744
ds004562	23	3	23	False	64767
ds002727	27	3	23	False	64790
ds003420	23	3	23	False	64813
ds002791	23	3	23	False	64836
ds001927	23	3	23	False	64859
ds005416	23	4	23	False	64882
ds004482	23	3	23	False	64905
ds004561	23	4	23	False	64928
ds002185	22	5	22	False	64950
ds001338	22	4	22	False	64972
ds002011	22	3	22	False	64994
ds005884	22	7	22	False	65016
ds001168	22	5	22	False	65038
ds004940	22	8	22	False	65060
ds002550	22	2	22	False	65082
ds004937	22	3	22	False	65104
ds004332	22	4	22	False	65126
ds002797	22	3	22	False	65148
ds005360	22	4	22	False	65170
ds002842	22	11	22	False	65192
ds006253	22	6	22	False	65214
ds005169	22	6	22	False	65236
ds005523	22	4	22	False	65258
ds003684	22	5	22	False	65280
ds002363	22	3	22	False	65302
ds003470	22	3	22	False	65324
ds005274	22	3	22	False	65346
ds004356	22	21	22	False	65368
ds004998	22	6	22	False	65390
ds004944	22	7	22	False	65412
ds002814	21	4	21	False	65433
ds007231	21	2	21	False	65454
ds004121	21	4	21	False	65475
ds002725	21	3	21	False	65496
ds001608	21	4	21	False	65517
ds006801	21	2	21	False	65538
ds002000	21	4	21	False	65559
ds001883	21	3	21	False	65580
ds003507	21	3	21	False	65601
ds005642	21	5	21	False	65622
ds004017	21	1	21	False	65643
ds003466	21	4	21	False	65664
ds002995	21	5	21	False	65685
ds003483	21	1	21	False	65706
ds005267	21	6	21	False	65727
ds005935	21	1	21	False	65748
ds005620	21	8	21	False	65769
ds005648	21	7	21	False	65790
ds006593	21	2	21	False	65811
ds000101	21	3	21	False	65832
ds004119	21	4	21	False	65853
ds005891	21	4	21	False	65874
ds004152	21	6	21	False	65895
ds004660	21	1	21	False	65916
ds001415	21	9	21	False	65937
ds003381	21	3	21	False	65958
ds000219	21	5	21	False	65979
ds005025	21	7	21	False	66000
ds004264	21	6	21	False	66021
ds006012	21	3	21	False	66042
ds005065	21	1	21	False	66063
ds001232	21	3	21	False	66084
ds004262	21	6	21	False	66105
ds003801	20	4	20	False	66125
ds004312	20	4	20	False	66145
ds002691	20	39	20	False	66165
ds005207	20	1	20	False	66185
ds005185	20	3	20	False	66205
ds005087	20	9	20	False	66225
ds004200	20	5	20	False	66245
ds002250	20	3	20	False	66265
ds006265	20	6	20	False	66285
ds006266	20	6	20	False	66305
ds005688	20	4	20	False	66325
ds005354	20	4	20	False	66345
ds003498	20	10	20	False	66365
ds004513	20	9	20	False	66385
ds004484	20	4	20	False	66405
ds004460	20	5	20	False	66425
ds005494	20	4	20	False	66445
ds003505	20	3	20	False	66465
ds000253	20	6	20	False	66485
ds002149	20	1	20	False	66505
ds002833	20	3	20	False	66525
ds001597	20	3	20	False	66545
ds007169	20	6	20	False	66565
ds004817	20	5	20	False	66585
ds004841	20	1	20	False	66605
ds007046	20	3	20	False	66625
ds006572	20	4	20	False	66645
ds006465	20	6	20	False	66665
ds004141	20	4	20	False	66685
ds002094	20	1	20	False	66705
ds006566	20	4	20	False	66725
ds002158	20	3	20	False	66745
ds001971	20	5	20	False	66765
ds004042	20	4	20	False	66785
ds007262	20	6	20	False	66805
ds003404	20	8	20	False	66825
ds004737	20	3	20	False	66845
ds003421	20	3	20	False	66865
ds004910	20	4	20	False	66885
ds000007	20	3	20	False	66905
ds006594	20	4	20	False	66925
ds004973	20	3	20	False	66945
ds003340	20	4	20	False	66965
ds003338	20	4	20	False	66985
ds004712	20	4	20	False	67005
ds003343	20	5	20	False	67025
ds004158	20	5	20	False	67045
ds001491	20	6	20	False	67065
ds001882	20	3	20	False	67085
ds004743	19	3	19	False	67104
ds005811	19	6	19	False	67123
ds003342	19	1	19	False	67142
ds003190	19	1	19	False	67161
ds006629	19	5	19	False	67180
ds006695	19	4	19	False	67199
ds002312	19	3	19	False	67218
ds000223	19	1	19	False	67237
ds007445	19	6	19	False	67256
ds002307	19	11	19	False	67275
ds004276	19	4	19	False	67294
ds000218	19	5	19	False	67313
ds003846	19	6	19	False	67332
ds002270	19	3	19	False	67351
ds003039	19	4	19	False	67370
ds005787	19	6	19	False	67389
ds003553	19	4	19	False	67408
ds001299	19	3	19	False	67427
ds002773	19	4	19	False	67446
ds005779	19	3	19	False	67465
ds001722	19	3	19	False	67484
ds006949	19	1	19	False	67503
