participant_id	session_id	dataset_id	rat_strain	rat_sex	rat_age	rat_weight	anesthesia_induction	anesthesia_induction_dose	anesthesia_maintenance	anesthesia_maintenance_dose	anesthesia_route	anesthesia_post_induction_time	anesthesia_breathing_assistance	anesthesia_breathing_rate	anesthesia_heart_rate	MRI_vendor	MRI_field_strength	anat_sequence	anat_contrast	anat_TR	anat_TE	func_sequence	func_TR	func_TE	func_FA
sub-0100406	ses-1	1004	Wistar	Male	2-4	300-350	isoflurane	3	isoflurane	1.3	n/a	90	free-breathing	60	n/a	Varian/Agilent	9.4	FSE	T8	2.5	0.04	SE-EPI	2	0.045	90
sub-0100407	ses-1	1004	Wistar	Male	2-4	300-350	isoflurane	3	isoflurane	1.3	n/a	90	free-breathing	60	n/a	Varian/Agilent	9.4	FSE	T9	2.5	0.04	SE-EPI	2	0.045	90
sub-0100408	ses-1	1004	Wistar	Male	2-4	300-350	isoflurane	3	isoflurane	1.3	n/a	90	free-breathing	60	n/a	Varian/Agilent	9.4	FSE	T10	2.5	0.04	SE-EPI	2	0.045	90
sub-0100409	ses-1	1004	Wistar	Male	2-4	300-350	isoflurane	3	isoflurane	1.3	n/a	90	free-breathing	60	n/a	Varian/Agilent	9.4	FSE	T11	2.5	0.04	SE-EPI	2	0.045	90
sub-0100500	ses-1	1005	Sprague Dawley	Male	n/a	300-350	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25% iso and ~0.015 mg/kg/hr med.	n/a	90	free-breathing	50	n/a	Bruker	7	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65
sub-0100501	ses-1	1005	Sprague Dawley	Male	n/a	300-350	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25% iso and ~0.015 mg/kg/hr med.	n/a	90	free-breathing	50	n/a	Bruker	7	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65
sub-0100502	ses-1	1005	Sprague Dawley	Male	n/a	300-350	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25% iso and ~0.015 mg/kg/hr med.	n/a	90	free-breathing	50	n/a	Bruker	7	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65
sub-0100503	ses-1	1005	Sprague Dawley	Male	n/a	300-350	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25% iso and ~0.015 mg/kg/hr med.	n/a	90	free-breathing	50	n/a	Bruker	7	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65
sub-0100504	ses-1	1005	Sprague Dawley	Male	n/a	300-350	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25% iso and ~0.015 mg/kg/hr med.	n/a	90	free-breathing	50	n/a	Bruker	7	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65
sub-0100505	ses-1	1005	Sprague Dawley	Male	n/a	300-350	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25% iso and ~0.015 mg/kg/hr med.	n/a	90	free-breathing	50	n/a	Bruker	7	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65
sub-0100506	ses-1	1005	Sprague Dawley	Male	n/a	300-350	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25% iso and ~0.015 mg/kg/hr med.	n/a	90	free-breathing	50	n/a	Bruker	7	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65
sub-0100507	ses-1	1005	Sprague Dawley	Male	n/a	300-350	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25% iso and ~0.015 mg/kg/hr med.	n/a	90	free-breathing	50	n/a	Bruker	7	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65
sub-0100508	ses-1	1005	Sprague Dawley	Male	n/a	300-350	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25% iso and ~0.015 mg/kg/hr med.	n/a	90	free-breathing	50	n/a	Bruker	7	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65
sub-0100509	ses-1	1005	Sprague Dawley	Male	n/a	300-350	ketamine / xylazine	80 / 10	isoflurane / medetomidine	0.25% iso and ~0.015 mg/kg/hr med.	n/a	90	free-breathing	50	n/a	Bruker	7	RARE	T2	6.5	0.05	GE-EPI	1.5	0.018	65
sub-0100600	ses-1	1006	Fischer 344	Male	16-18	450-500	isoflurane	4	isoflurane	2.5-3.0%	n/a	50	free-breathing	50	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100600	ses-2	1006	Fischer 344	Male	18-20	500-550	isoflurane	4	isoflurane	2.0-2.5%	n/a	50	free-breathing	50	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100601	ses-1	1006	Fischer 344	Female	14-16	300-350	isoflurane	4	isoflurane	2.0-2.5%	n/a	50	free-breathing	60	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100601	ses-2	1006	Fischer 344	Female	18-20	250-300	isoflurane	4	isoflurane	3.0-3.5%	n/a	60	free-breathing	60	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100602	ses-1	1006	Fischer 344	Female	16-18	350-400	isoflurane	4	isoflurane	2.0-2.5%	n/a	60	free-breathing	60	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100602	ses-2	1006	Fischer 344	Female	18-20	350-400	isoflurane	4	isoflurane	2.0-2.5%	n/a	50	free-breathing	60	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100603	ses-1	1006	Fischer 344	Female	16-18	300-350	isoflurane	4	isoflurane	2.0-2.5%	n/a	50	free-breathing	70	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100603	ses-2	1006	Fischer 344	Female	18-20	300-350	isoflurane	4	isoflurane	2.0-2.5%	n/a	50	free-breathing	60	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100604	ses-1	1006	Fischer 344	Male	14-16	550-600	isoflurane	4	isoflurane	2.5-3.0%	n/a	50	free-breathing	60	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100604	ses-2	1006	Fischer 344	Male	18-20	550-600	isoflurane	4	isoflurane	2.0-2.5%	n/a	50	free-breathing	50	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100605	ses-1	1006	Fischer 344	Male	18-20	550-600	isoflurane	4	isoflurane	2.5-3.0%	n/a	50	free-breathing	60	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100605	ses-2	1006	Fischer 344	Male	16-18	550-600	isoflurane	4	isoflurane	3.0-3.5%	n/a	50	free-breathing	70	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100606	ses-1	1006	Fischer 344	Female	16-18	250-300	isoflurane	4	isoflurane	2.0-2.5%	n/a	50	free-breathing	60	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100606	ses-2	1006	Fischer 344	Female	16-18	250-300	isoflurane	4	isoflurane	2.5-3.0%	n/a	60	free-breathing	50	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100607	ses-1	1006	Fischer 344	Female	16-18	250-300	isoflurane	4	isoflurane	2.0-2.5%	n/a	50	free-breathing	60	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100607	ses-2	1006	Fischer 344	Female	16-18	250-300	isoflurane	4	isoflurane	2.5-3.0%	n/a	60	free-breathing	50	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100608	ses-1	1006	Fischer 344	Female	16-18	250-300	isoflurane	4	isoflurane	2.0-2.5%	n/a	60	free-breathing	60	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100608	ses-2	1006	Fischer 344	Female	16-18	300-350	isoflurane	4	isoflurane	2.0-2.5%	n/a	60	free-breathing	50	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100609	ses-1	1006	Fischer 344	Male	16-18	450-500	isoflurane	4	isoflurane	2.5-3.0%	n/a	50	free-breathing	60	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100609	ses-2	1006	Fischer 344	Male	16-18	450-500	isoflurane	4	isoflurane	3.5-4.0%	n/a	60	free-breathing	60	n/a	Bruker	7	turboRARE	T2	0.325	0.0324	SE-EPI	0.9	0.015	90
sub-0100700	ses-1	1007	Fischer 344	Female	2-4	150-200	isoflurane	5	isoflurane	1.5	n/a	190	free-breathing	50	n/a	Bruker	9.4	RARE	T2	2	0.05	GE-EPI	1	0.018	65
sub-0100701	ses-1	1007	Fischer 344	Female	2-4	150-200	isoflurane	5	isoflurane	1.6	n/a	140	free-breathing	70	n/a	Bruker	9.4	RARE	T2	2	0.05	GE-EPI	1	0.018	65
sub-0100702	ses-1	1007	Fischer 344	Female	2-4	150-200	isoflurane	5	isoflurane	1.6	n/a	180	free-breathing	60	n/a	Bruker	9.4	RARE	T2	2	0.05	GE-EPI	1	0.018	65
sub-0100703	ses-1	1007	Fischer 344	Female	2-4	150-200	isoflurane	5	isoflurane	1.7	n/a	150	free-breathing	40	n/a	Bruker	9.4	RARE	T2	2	0.05	GE-EPI	1	0.018	65
sub-0100704	ses-1	1007	Fischer 344	Female	2-4	150-200	isoflurane	5	isoflurane	1.8	n/a	210	free-breathing	50	n/a	Bruker	9.4	RARE	T2	2	0.05	GE-EPI	1	0.018	65
sub-0100705	ses-1	1007	Fischer 344	Female	2-4	150-200	isoflurane	5	isoflurane	2	n/a	230	free-breathing	40	n/a	Bruker	9.4	RARE	T2	2	0.05	GE-EPI	1	0.018	65
sub-0100706	ses-1	1007	Fischer 344	Female	2-4	150-200	isoflurane	5	isoflurane	2.3	n/a	190	free-breathing	40	n/a	Bruker	9.4	RARE	T2	2	0.05	GE-EPI	1	0.018	65
sub-0100707	ses-1	1007	Fischer 344	Female	2-4	150-200	isoflurane	5	isoflurane	1.1	n/a	150	free-breathing	50	n/a	Bruker	9.4	RARE	T2	2	0.05	GE-EPI	1	0.018	65
sub-0100708	ses-1	1007	Fischer 344	Female	2-4	150-200	isoflurane	5	isoflurane	1.6	n/a	140	free-breathing	50	n/a	Bruker	9.4	RARE	T2	2	0.05	GE-EPI	1	0.018	65
sub-0100709	ses-1	1007	Fischer 344	Female	2-4	150-200	isoflurane	5	isoflurane	1.4	n/a	190	free-breathing	60	n/a	Bruker	9.4	RARE	T2	2	0.05	GE-EPI	1	0.018	65
sub-0100800	ses-1	1008	Long Evans	Female	n/a	n/a	isoflurane	3.5	isoflurane / medetomidine	1 / 0.05 	s.c	50	free-breathing	50	n/a	Magnex Scientific	11.7	turboRARE	T2	4	0.041	SE-EPI	2	0.015	n/a
sub-0100801	ses-1	1008	Long Evans	Female	n/a	n/a	isoflurane	3.5	isoflurane / medetomidine	1 / 0.05 	s.c	50	free-breathing	50	n/a	Magnex Scientific	11.7	turboRARE	T2	4	0.041	SE-EPI	2	0.015	n/a
sub-0100802	ses-1	1008	Long Evans	Female	n/a	n/a	isoflurane	3.5	isoflurane / medetomidine	1 / 0.05 	s.c	50	free-breathing	50	n/a	Magnex Scientific	11.7	turboRARE	T2	4	0.041	SE-EPI	2	0.015	n/a
sub-0100803	ses-1	1008	Long Evans	Female	n/a	n/a	isoflurane	3.5	isoflurane / medetomidine	1 / 0.05 	s.c	50	free-breathing	50	n/a	Magnex Scientific	11.7	turboRARE	T2	4	0.041	SE-EPI	2	0.015	n/a
sub-0100804	ses-1	1008	Long Evans	Female	n/a	n/a	isoflurane	3.5	isoflurane / medetomidine	1 / 0.05 	s.c	50	free-breathing	50	n/a	Magnex Scientific	11.7	turboRARE	T2	4	0.041	SE-EPI	2	0.015	n/a
sub-0100805	ses-1	1008	Long Evans	Male	n/a	n/a	isoflurane	3.5	isoflurane / medetomidine	1 / 0.05 	s.c	50	free-breathing	50	n/a	Magnex Scientific	11.7	turboRARE	T2	4	0.041	SE-EPI	2	0.015	n/a
sub-0100806	ses-1	1008	Long Evans	Male	n/a	n/a	isoflurane	3.5	isoflurane / medetomidine	1 / 0.05 	s.c	50	free-breathing	50	n/a	Magnex Scientific	11.7	turboRARE	T2	4	0.041	SE-EPI	2	0.015	n/a
sub-0100807	ses-1	1008	Long Evans	Male	n/a	n/a	isoflurane	3.5	isoflurane / medetomidine	1 / 0.05 	s.c	50	free-breathing	50	n/a	Magnex Scientific	11.7	turboRARE	T2	4	0.041	SE-EPI	2	0.015	n/a
sub-0100808	ses-1	1008	Long Evans	Male	n/a	n/a	isoflurane	3.5	isoflurane / medetomidine	1 / 0.05 	s.c	50	free-breathing	50	n/a	Magnex Scientific	11.7	turboRARE	T2	4	0.041	SE-EPI	2	0.015	n/a
sub-0100809	ses-1	1008	Long Evans	Male	n/a	n/a	isoflurane	3.5	isoflurane / medetomidine	1 / 0.05 	s.c	50	free-breathing	50	n/a	Magnex Scientific	11.7	turboRARE	T2	4	0.041	SE-EPI	2	0.015	n/a
sub-0100900	ses-1	1009	Wistar	Female	2-4	150-200	urethane	1375	urethane	1375	i.p	70	free-breathing	130	330	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0100901	ses-1	1009	Wistar	Female	2-4	150-200	urethane	1375	urethane	1375	i.p	50	free-breathing	90	330	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0100902	ses-1	1009	Wistar	Female	2-4	150-200	urethane	1375	urethane	1375	i.p	50	free-breathing	110	330	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0100903	ses-1	1009	Wistar	Female	2-4	150-200	urethane	1375	urethane	1375	i.p	40	free-breathing	110	400	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0100904	ses-1	1009	Wistar	Female	0-2	150-200	urethane	1375	urethane	1375	i.p	60	free-breathing	110	340	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0100905	ses-1	1009	Wistar	Female	0-2	150-200	urethane	1375	urethane	1375	i.p	50	free-breathing	90	350	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0100906	ses-1	1009	Wistar	Female	2-4	200-250	urethane	1375	urethane	1375	i.p	50	free-breathing	150	310	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0100907	ses-1	1009	Wistar	Female	2-4	200-250	urethane	1375	urethane	1375	i.p	40	free-breathing	110	420	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0100908	ses-1	1009	Wistar	Female	2-4	150-200	urethane	1375	urethane	1375	i.p	40	free-breathing	100	300	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0100909	ses-1	1009	Wistar	Female	2-4	200-250	urethane	1375	urethane	1375	i.p	40	free-breathing	120	400	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0101000	ses-1	1010	Wistar	Male	2-4	350-400	urethane	1375	urethane	1375	i.p	70	free-breathing	100	410	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0101001	ses-1	1010	Wistar	Male	2-4	300-350	urethane	1375	urethane	1375	i.p	60	free-breathing	110	300	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0101002	ses-1	1010	Wistar	Male	2-4	300-350	urethane	1375	urethane	1375	i.p	100	free-breathing	120	360	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0101003	ses-1	1010	Wistar	Male	2-4	300-350	urethane	1375	urethane	1375	i.p	60	free-breathing	90	340	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0101004	ses-1	1010	Wistar	Male	2-4	300-350	urethane	1375	urethane	1375	i.p	70	free-breathing	90	320	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0101005	ses-1	1010	Wistar	Male	2-4	300-350	urethane	1375	urethane	1375	i.p	60	free-breathing	100	350	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0101006	ses-1	1010	Wistar	Male	2-4	250-300	urethane	1375	urethane	1375	i.p	50	free-breathing	100	380	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0101007	ses-1	1010	Wistar	Male	2-4	300-350	urethane	1375	urethane	1375	i.p	40	free-breathing	110	370	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
sub-0101008	ses-1	1010	Wistar	Male	2-4	250-300	urethane	1375	urethane	1375	i.p	50	free-breathing	120	280	Bruker	7	turboRARE	T2	4	0.04	GE-EPI	1	0.018	60
